Exercise Name,Main Muscles,Equipment,Movement Pattern,Mechanics,Level,Type,Laterality
Band Assisted Neutral Grip Chin Up,"Lats, Biceps, Middle Back",Long Band,"Vertical Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Band Assisted Prone Quad Stretch,Quads,Long Band,Static Stretches,"",Beginner,general,bilateral
Band Assisted Pull Up,"Lats, Biceps, Middle Back",Long Band,"Vertical Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Band Assisted Reverse Nordic Curl,Quads,Long Band,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Assisted Supine Hamstring Stretch,Hamstrings,Long Band,Static Stretches,Isolation,Beginner,general,bilateral
Band Assisted Wide Grip Pull Up,"Lats, Biceps, Middle Back",Long Band,"Bilateral (2 Arms and/or 2 Legs), Vertical Pull",Compound,Intermediate,endurance,bilateral
Band B-Stance Glute Bridge,"Glutes, Hamstrings",Long Band,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band B-Stance RDL,"Glutes, Hamstrings, Lower Back",Long Band,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band Bent Over Neutral Row,"Lats, Middle Back, Lower Back",Long Band,"Bilateral (2 Arms and/or 2 Legs), Horizontal Pull",Compound,Beginner,endurance,bilateral
Band Bent Over Pronated Row,"Lower Back, Middle Back, Traps",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Bent Over Supinated Row,"Biceps, Lats, Lower Back",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Bicep Curl,Biceps,Long Band,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Crunch,Abs,Long Band,"Core, Core Flexion",Isolation,Beginner,endurance,bilateral
Band Deadlift,"Glutes, Hamstrings, Lower Back",Long Band,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band External Rotation,"","","","",Beginner,endurance,bilateral
Band Floor Press,"Chest, Shoulders, Triceps",Long Band,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Front Squat,"Glutes, Quads",Long Band,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Frontal Raise,Shoulders,Long Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Band Glute Bridge,"Glutes, Hamstrings",Long Band,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Hammer Curl,Biceps,Long Band,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Lateral Raise,Shoulders,Long Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Band Lateral Walk,Abductors,Short Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Band Lying Leg Curl,Hamstrings,Long Band,"Knee Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Lying Single Leg Curl,Hamstrings,Long Band,"Knee Flexion, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
Band Over Shoulder Split Squat,"Glutes, Quads",Long Band,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band Pec Stretch,"Chest, Shoulders",Bodyweight,Static Stretches,"",Beginner,general,bilateral
Band Pull Aparts,"Posterior Shoulder, Rotator Cuff",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Quadruped Hip Extensions,Glutes,Short Band,"Unilateral (Single Arm or Leg), Hip Flexion",Isolation,Intermediate,strength,bilateral
Band Quadruped Kickback,Triceps,Long Band,"Elbow Extension, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
Band Rear Foot Elevated Single Leg RDL,"Glutes, Hamstrings, Lower Back",Long Band,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band Rear Foot Elevated Split Squat,"Glutes, Quads",Long Band,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band Reverse Curl,Forearms,Long Band,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Seated Face Pull,"Posterior Shoulder, Rotator Cuff, Middle Back",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Seated Neutral Row,"Lats, Biceps, Middle Back",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Seated Pronated Row,"Middle Back, Traps",Long Band,"Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Seated Supinated Row,"Middle Back, Posterior Shoulder, Traps",Long Band,"Bilateral (2 Arms and/or 2 Legs), Horizontal Pull",Compound,Beginner,endurance,bilateral
Band Single-Leg RDL,"Abductors, Hamstrings, Glutes, Lower Back",Long Band,"Hip Hinge, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,endurance,bilateral
Band Split Squat,"Glutes, Quads",Long Band,"Lunge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
Band Squat,"Glutes, Quads",Long Band,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Straight Arm Pulldown,Lats,Long Band,"Vertical Pull, Bilateral (2 Arms and/or 2 Legs)",Isolation,Beginner,endurance,bilateral
Band Straight Arm Side Plank,"Obliques, Abs",Long Band,"Core Anti-Rotation, Core Anti-Lateral Flexion","",Intermediate,timed,bilateral
Band Sumo Deadlift,"Glutes, Quads, Adductors",Long Band,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Band Under Feet Lateral Walk,Abductors,Long Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Band Wrist Flexion,"","","","",Beginner,strength,bilateral
Banded Barbell Deadlift,"Glutes, Lats, Hamstrings, Lower Back, Middle Back","Barbell, Long Band","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,strength,bilateral
Banded Bird Dog,"Abs, Shoulders",Long Band,"Core Anti-Rotation, Core Anti-Extension, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,endurance,bilateral
Banded Bully,Shoulders,Long Band,Mobility,"",Intermediate,endurance,bilateral
Banded Clam Shell,Abductors,Short Band,Unilateral (Single Arm or Leg),Isolation,Beginner,endurance,bilateral
Banded Classic Posterior Chain Mob,Hamstrings,Long Band,Static Stretches,Isolation,Beginner,general,bilateral
Banded Couch Stretch,"",Long Band,Static Stretches,Isolation,Intermediate,general,bilateral
Banded Dead Bug,Abs,Long Band,"Alternating, Core Extension",Isolation,Beginner,endurance,bilateral
Banded Elbow Extension,"",Long Band,Mobility,"",Beginner,general,bilateral
Banded Elbow Flexion,"",Long Band,Mobility,"",Beginner,general,bilateral
Banded Fire Hydrants,Abductors,Short Band,Unilateral (Single Arm or Leg),Isolation,Beginner,endurance,bilateral
Banded First Rib,"Traps, Shoulders",Long Band,Mobility,"",Beginner,general,bilateral
Banded Good Mornings,"Hamstrings, Glutes, Lower Back",Long Band,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Banded Heel Cord: Anterior Bias,Ankle & Foot,Long Band,Static Stretches,"",Beginner,general,bilateral
Banded Heel Cord: Anterior Bias (Plate),Ankle & Foot,"Long Band, Plate",Static Stretches,"",Beginner,general,bilateral
Banded Heel Cord: Posterior Bias,Ankle & Foot,Long Band,Static Stretches,"",Beginner,general,bilateral
Banded Jab Step,Abductors,Short Band,Unilateral (Single Arm or Leg),Isolation,Beginner,endurance,bilateral
Banded KB March (Hip Flexor Focus),,,,,"",strength,bilateral
Banded Landmine RDL,"Hamstrings, Glutes, Lower Back, Middle Back","Landmine, Long Band","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Banded Lateral Distraction Hip Capsule Mobilisation,,,,,"",strength,bilateral
Banded Lateral Opener,"Shoulders, Chest",Long Band,Static Stretches,"",Beginner,general,bilateral
Banded Lateral Opener Distraction,,,,,"",strength,bilateral
Banded Psoas March,Hip Flexor,Short Band,Alternating,Isolation,Beginner,endurance,bilateral
Banded Push Up,"Chest, Triceps, Shoulders",Band,"Bilateral (2 Arms and/or 2 Legs), Horizontal Push",Compound,Intermediate,endurance,bilateral
Banded Quadruped Chin Tuck Retraction,Neck & Jaw,Long Band,"",Isolation,Beginner,endurance,bilateral
Banded RDL,"Glutes, Hamstrings, Lower Back",Long Band,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Banded Seated Hip Abduction,Abductors,Short Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Banded Side-Lying Hip Abduction,Abductors,Short Band,Unilateral (Single Arm or Leg),Isolation,Beginner,endurance,bilateral
Banded Single Hip Flexion,,,,,"",strength,bilateral
Banded Single-Arm Upside Down KB Floor Press,,,,,"",strength,bilateral
Banded Spanish Squat,"Glutes, Quads",Long Band,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Banded Super Frog,Adductors,"Long Band, Plate",Static Stretches,"",Intermediate,endurance,bilateral
Banded Trap Bar Deadlift,"Glutes, Hamstrings, Middle Back, Lower Back","Barbell, Long Band","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Advanced,strength,bilateral
Banded W's,Rotator Cuff,Long Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Barbell Back Squat,"Glutes, Quads",Barbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Bench Press,"Chest, Triceps, Shoulders","Barbell, Bench","Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Box Front Squat,"Glutes, Quads","Barbell, Bench","Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Box Squat,"Glutes, Quads","Barbell, Bench","Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Calf Mobilisation,Calves,Barbell,"","",Beginner,general,bilateral
Barbell Clean,"Traps, Shoulders, Middle Back",Barbell,"Vertical Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Cuban Press,,,,,"",strength,bilateral
Barbell Curl,,,,,"",strength,bilateral
Barbell Deadlift,"","","","",Beginner,strength,bilateral
Barbell Deadlift From Blocks,"Lower Back, Glutes, Middle Back, Hamstrings",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Deficit Deadlift,"Hamstrings, Glutes, Middle Back, Lower Back",Barbell,"Bilateral (2 Arms and/or 2 Legs), Hip Hinge",Compound,Advanced,strength,bilateral
Barbell Frog Pump,"Glutes, Abductors",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Front Squat,"Glutes, Quads",Barbell,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Glute Bridge,"Glutes, Hamstrings",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Barbell Glute Bridge (Mini Band),"Hamstrings, Glutes","Barbell, Short Band","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Barbell Hip Thrust,"Glutes, Hamstrings","Barbell, Bench, Box/Step","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Hip Thrust (Mini Band),"Glutes, Hamstrings","Barbell, Box/Step, Bench","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Lat Scrub,Lats,Barbell,Mobility,"",Beginner,general,bilateral
Barbell Overhead Press,Shoulders,Barbell,"Vertical Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Paused Box Squat,"Glutes, Quads","Bench, Box/Step, Barbell","Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell RDL,"Hamstrings, Glutes, Lower Back, Middle Back",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell RDL (Banded Hip Extension),"Lower Back, Hamstrings, Glutes, Middle Back","Long Band, Barbell","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Reverse Lunge,"Glutes, Quads",Barbell,"Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
Barbell Shoulder Shear,Shoulders,Barbell,Mobility,"",Intermediate,general,bilateral
Barbell Suitcase Hold,"Obliques, Abs, Forearms",Barbell,"Core Anti-Lateral Flexion, Unilateral (Single Arm or Leg)",Isolation,Beginner,timed_strength,bilateral
Barbell Sumo Deadlift,"Glutes, Middle Back, Lower Back, Adductors, Quads",Barbell,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Barbell Trap Scrub,Traps,Barbell,Mobility,"",Beginner,general,bilateral
Barbell Triceps Smash,Triceps,Barbell,Mobility,"",Intermediate,general,bilateral
Bench Dip,"Triceps, Shoulders","Bench, Box/Step","Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Bench Dip - Feet Elevated,"Triceps, Shoulders","Bodyweight, Bench, Box/Step","Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Bench Dip - Knees Bent,"Shoulders, Triceps","Bodyweight, Box/Step, Bench","Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Bench Dip - Plate On Legs,"Triceps, Shoulders","Bench, Box/Step, Plate","Elbow Extension, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Bench Single-Leg Squat,"Abductors, Glutes, Quads","Bodyweight, Box/Step, Bench","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
Bench Single-Leg Squat With Pause,"Abductors, Glutes, Quads","Bodyweight, Bench, Box/Step","Lunge, Unilateral (Single Arm or Leg)",Compound,Intermediate,endurance,bilateral
Bent Over Cable French Press,,,,,"",strength,bilateral
Biceps Manual Release,,,,,"",strength,bilateral
Bicycle Crunch,"Abs, Obliques",Bodyweight,"Core Flexion, Alternating, Core",Isolation,Intermediate,endurance,bilateral
Bilateral Shoulder Flexion,,,,,"",strength,bilateral
Bird Dog,Abs,Bodyweight,"Core Anti-Rotation, Core, Contralateral (Opposite Side Arm & Leg)","",Beginner,endurance,bilateral
Bird Dog - Knee To Elbow,Abs,Bodyweight,"Core Anti-Rotation, Contralateral (Opposite Side Arm & Leg)","",Beginner,endurance,bilateral
Bird Dog - Leg Slide + Lift,Abs,Bodyweight,"Core Anti-Rotation, Contralateral (Opposite Side Arm & Leg)","",Beginner,endurance,bilateral
Bird Dog Single-Arm Dumbbell Row,"Lats, Biceps, Middle Back, Abs","Bench, Box/Step, Dumbbell","Horizontal Pull, Core Anti-Rotation, Contralateral (Opposite Side Arm & Leg)",Compound,Intermediate,strength,bilateral
Bodyweight Box Squat,"Quads, Glutes","Bodyweight, Box/Step, Bench","Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Bodyweight Squat,,,,,"",strength,bilateral
Bodyweight Sumo Squat,"Adductors, Glutes, Quads",Bodyweight,"Squat, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Bosu Ball Barbell Frog Pump,"Abductors, Glutes","Barbell, Bosu Ball","Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Bosu Ball Frog Pump,"Abductors, Glutes",Bosu Ball,"Hip Hinge, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
Bosu Ball Frog Pump (Mini Band),"Abductors, Glutes",Bosu Ball,"Bilateral (2 Arms and/or 2 Legs), Hip Hinge",Compound,Beginner,endurance,bilateral
Bosu Rope Crunch,,,,,"",strength,bilateral
Box Adductor Stretch,Adductors,"",Static Stretches,"",Beginner,general,bilateral
Box Jump,"Glutes, Calves, Quads",Box/Step,"Plyometrics, Bilateral (2 Arms and/or 2 Legs), Squat",Compound,Advanced,endurance,bilateral
Brettzel,"Abductors, Hip Flexor, Quads, Middle Back",Bodyweight,Static Stretches,"",Beginner,general,bilateral
Brettzel 2.0,"Quads, Hip Flexor, Middle Back",Bodyweight,Mobility,"",Beginner,general,bilateral
Bully Extension Bias,,,,,"",strength,bilateral
Cable Drag Curl,,,,,"",strength,bilateral
Cable Fly,,,,,"",strength,bilateral
Cable Pull Through,,,,,"",strength,bilateral
Cable Reverse Straight Bar Curl,,,,,"",strength,bilateral
Cable Rope Rotations (Mid Height),,,,,"",strength,bilateral
Cable Straight Arm Pulldown,,,,,"",strength,bilateral
Cable Straight Bar Curl,,,,,"",strength,bilateral
Cable/Bond External Rotation Walk Outs,,,,,"",strength,bilateral
Cable/Bond Internal Rotation Walk Outs,,,,,"",strength,bilateral
Calf Banded Distraction,,,,,"",strength,bilateral
Calf Raise - Knees Bent,,,,,"",strength,bilateral
Calf SMR - Kettlebell,,,,,"",strength,bilateral
Calf Stretch,,,,,"",strength,bilateral
Cat-Cow,,,,,"",strength,bilateral
Chair Glute Smash - Lacrosse,,,,,"",strength,bilateral
Chest Supported Dual Cable Row,"Lats, Middle Back, Biceps","Cable, Bench","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Chest Supported Dumbbell Row,"Biceps, Lats, Middle Back","Dumbbell, Bench","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,strength,bilateral
Chest Supported Pronated Barbell Row,"Middle Back, Biceps, Traps","Bench, Barbell","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Chest Supported Single Cable Row,"Lats, Biceps","Cable, Bench","Horizontal Pull, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
Chest Supported Supinated Barbell Row,"Lats, Middle Back, Biceps","Barbell, Bench","Horizontal Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,strength,bilateral
Childs Pose,,,,,"",strength,bilateral
Chin Up,,,,,"",strength,bilateral
Clam Shell,,,,,"",strength,bilateral
Close Grip Chin Up,,,,,"",strength,bilateral
Close Grip Dumbbell Press,,,,,"",strength,bilateral
Close Grip Pull Up,,,,,"",strength,bilateral
Close Grip Push Up,"Triceps, Shoulders",Bodyweight,"Horizontal Push, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Cobra Stretch,,,,,"",strength,bilateral
Contralateral Dumbbell Split Squat,"Abductors, Glutes, Quads",Dumbbell,"Lunge, Contralateral (Opposite Side Arm & Leg)",Compound,Beginner,strength,bilateral
